Contig Number	S. lycopersicum cv Heinz (2.40)	S. lycopersicum cv Heinz (aplg ill 250+300+500+2k+3k+4k+5k)	S. habrochaites (aplg ill 170+500+2k)	S. pennellii (aplg ill 170+500+2k)	S. arcanum (aplg ill 170+500+2k)
"12820"	""	618880594	726031700	679282065	662979342
"12821"	""	618885386	726037373	679293915	662985947
"12822"	""	618890176	726043044	679305763	662992552
"12823"	""	618894964	726048712	679317611	662999149
"12824"	""	618899752	726054376	679329457	663005746
"12825"	""	618904538	726060036	679341302	663012342
"12826"	""	618909323	726065694	679353146	663018932
"12827"	""	618914108	726071348	679364989	663025521
"12828"	""	618918891	726076996	679376830	663032110
"12829"	""	618923674	726082644	679388668	663038696
"12830"	""	618928456	726088291	679400502	663045282
"12831"	""	618933236	726093936	679412335	663051864
"12832"	""	618938015	726099577	679424168	663058446
"12833"	""	618942794	726105218	679436001	663065021
"12834"	""	618947567	726110859	679447834	663071593
"12835"	""	618952339	726116491	679459666	663078162
"12836"	""	618957110	726122123	679471497	663084730
"12837"	""	618961880	726127754	679483326	663091296
"12838"	""	618966650	726133383	679495152	663097859
"12839"	""	618971420	726139012	679506977	663104422
"12840"	""	618976188	726144640	679518801	663110984
"12841"	""	618980954	726150266	679530621	663117545
"12842"	""	618985719	726155889	679542441	663124105
"12843"	""	618990481	726161507	679554259	663130664
"12844"	""	618995241	726167122	679566075	663137221
"12845"	""	618999999	726172734	679577891	663143773
"12846"	""	619004756	726178344	679589707	663150323
"12847"	""	619009513	726183944	679601521	663156872
"12848"	""	619014267	726189543	679613335	663163420
"12849"	""	619019016	726195140	679625149	663169967
"12850"	""	619023763	726200737	679636960	663176512
"12851"	""	619028509	726206330	679648771	663183055
"12852"	""	619033253	726211922	679660581	663189594
"12853"	""	619037993	726217514	679672391	663196133
"12854"	""	619042732	726223094	679684199	663202670
"12855"	""	619047470	726228671	679696007	663209205
"12856"	""	619052208	726234246	679707813	663215740
"12857"	""	619056946	726239821	679719613	663222275
"12858"	""	619061683	726245396	679731413	663228809
"12859"	""	619066416	726250965	679743206	663235331
"12860"	""	619071147	726256533	679754998	663241853
"12861"	""	619075870	726262101	679766790	663248370
"12862"	""	619080591	726267667	679778582	663254886
"12863"	""	619085308	726273230	679790373	663261401
"12864"	""	619090025	726278791	679802164	663267910
"12865"	""	619094740	726284351	679813952	663274419
"12866"	""	619099452	726289909	679825737	663280926
"12867"	""	619104159	726295466	679837520	663287432
"12868"	""	619108863	726301022	679849301	663293936
"12869"	""	619113565	726306575	679861081	663300439
"12870"	""	619118264	726312128	679872859	663306941
"12871"	""	619122963	726317681	679884635	663313438
"12872"	""	619127659	726323234	679896410	663319935
"12873"	""	619132355	726328786	679908185	663326431
"12874"	""	619137047	726334338	679919958	663332926
"12875"	""	619141737	726339888	679931730	663339420
"12876"	""	619146424	726345438	679943502	663345914
"12877"	""	619151110	726350987	679955272	663352405
"12878"	""	619155796	726356535	679967041	663358895
"12879"	""	619160482	726362082	679978808	663365383
"12880"	""	619165167	726367629	679990572	663371871
"12881"	""	619169852	726373175	680002335	663378354
"12882"	""	619174536	726378721	680014097	663384833
"12883"	""	619179218	726384265	680025854	663391311
"12884"	""	619183900	726389808	680037610	663397788
"12885"	""	619188579	726395350	680049365	663404263
"12886"	""	619193254	726400891	680061118	663410734
"12887"	""	619197928	726406432	680072870	663417204
"12888"	""	619202602	726411967	680084618	663423673
"12889"	""	619207276	726417502	680096365	663430141
"12890"	""	619211949	726423036	680108108	663436607
"12891"	""	619216621	726428568	680119851	663443073
"12892"	""	619221292	726434100	680131593	663449535
"12893"	""	619225962	726439631	680143334	663455996
"12894"	""	619230632	726445159	680155071	663462455
"12895"	""	619235301	726450678	680166808	663468913
"12896"	""	619239970	726456194	680178544	663475369
"12897"	""	619244634	726461710	680190278	663481825
"12898"	""	619249296	726467225	680202012	663488278
"12899"	""	619253958	726472740	680213745	663494727
"12900"	""	619258618	726478250	680225478	663501176
"12901"	""	619263277	726483760	680237206	663507623
"12902"	""	619267936	726489268	680248934	663514070
"12903"	""	619272593	726494774	680260659	663520515
"12904"	""	619277250	726500278	680272382	663526960
"12905"	""	619281906	726505779	680284104	663533403
"12906"	""	619286561	726511277	680295825	663539845
"12907"	""	619291216	726516774	680307545	663546285
"12908"	""	619295869	726522270	680319265	663552723
"12909"	""	619300522	726527766	680330985	663559159
"12910"	""	619305175	726533261	680342703	663565594
"12911"	""	619309828	726538754	680354419	663572025
"12912"	""	619314480	726544247	680366132	663578448
"12913"	""	619319131	726549739	680377843	663584869
"12914"	""	619323781	726555229	680389551	663591287
"12915"	""	619328429	726560716	680401257	663597704
"12916"	""	619333077	726566202	680412958	663604118
"12917"	""	619337725	726571688	680424656	663610532
"12918"	""	619342371	726577173	680436353	663616946
"12919"	""	619347016	726582656	680448041	663623355
"12920"	""	619351661	726588137	680459729	663629763
"12921"	""	619356305	726593618	680471413	663636170
"12922"	""	619360949	726599096	680483097	663642575
"12923"	""	619365592	726604574	680494780	663648978
"12924"	""	619370234	726610046	680506461	663655380
"12925"	""	619374876	726615517	680518140	663661782
"12926"	""	619379518	726620987	680529818	663668183
"12927"	""	619384158	726626457	680541494	663674578
"12928"	""	619388797	726631927	680553168	663680972
"12929"	""	619393434	726637393	680564838	663687365
"12930"	""	619398069	726642857	680576507	663693757
"12931"	""	619402699	726648320	680588176	663700149
"12932"	""	619407329	726653782	680599840	663706540
"12933"	""	619411958	726659244	680611500	663712930
"12934"	""	619416585	726664704	680623160	663719319
"12935"	""	619421212	726670163	680634818	663725707
"12936"	""	619425836	726675619	680646474	663732094
"12937"	""	619430459	726681073	680658129	663738480
"12938"	""	619435080	726686525	680669782	663744865
"12939"	""	619439701	726691977	680681435	663751248
"12940"	""	619444315	726697426	680693088	663757629
"12941"	""	619448929	726702874	680704738	663764009
"12942"	""	619453542	726708322	680716385	663770387
"12943"	""	619458154	726713766	680728030	663776764
"12944"	""	619462765	726719204	680739674	663783137
"12945"	""	619467374	726724639	680751317	663789509
"12946"	""	619471982	726730069	680762959	663795880
"12947"	""	619476589	726735498	680774597	663802251
"12948"	""	619481195	726740926	680786234	663808619
"12949"	""	619485801	726746354	680797863	663814985
"12950"	""	619490407	726751781	680809492	663821350
"12951"	""	619495011	726757207	680821118	663827709
"12952"	""	619499614	726762633	680832742	663834068
"12953"	""	619504209	726768056	680844365	663840418
"12954"	""	619508802	726773475	680855988	663846764
"12955"	""	619513392	726778894	680867610	663853107
"12956"	""	619517982	726784310	680879229	663859448
