Contig Number	heinz reference (2.40)	heinz (aplg ill 250+300+500+2k+3k+4k+5k)	habrochaites (aplg ill 170+2k)	habrochaites (aplg ill 170+500+2k)+(scarpa 454 8k+20k)	pennellii (aplg ill 170+2k)	pennellii (aplg ill 170+500+2k)+(scarpa 454 3k+8k+20k)	arcanum (clc ill 170+2k 454 8k+20k) non default	arcanum (aplg ill 170+2k)	arcanum (aplg ill 170+500+2k)+(scarpa 454 8k+20k)
"4725"	""	478311466	548439652	730810401	470639294	622371906	241996316	499839149	681233298
"4726"	""	478351129	548489015	730829409	470687313	622416664	242027782	499884306	681252841
"4727"	""	478390786	548538354	730848400	470735308	622461421	242059242	499929459	681272375
"4728"	""	478430435	548587691	730867380	470783294	622506156	242090699	499974601	681291892
"4729"	""	478470079	548637009	730886350	470831279	622550882	242122154	500019737	681311405
"4730"	""	478509715	548686326	730905302	470879258	622595584	242153607	500064864	681330918
"4731"	""	478549341	548735632	730924251	470927227	622640286	242185059	500109986	681350430
"4732"	""	478588967	548784937	730943190	470975154	622684987	242216508	500155107	681369934
"4733"	""	478628570	548834197	730962123	471023050	622729676	242247957	500200215	681389410
"4734"	""	478668171	548883453	730981051	471070942	622774346	242279394	500245314	681408868
"4735"	""	478707768	548932699	730999972	471118800	622818943	242310824	500290401	681428283
"4736"	""	478747331	548981937	731018866	471166644	622863536	242342247	500335487	681447695
"4737"	""	478786853	549031168	731037754	471214479	622908112	242373665	500380558	681467106
"4738"	""	478826372	549080395	731056637	471262313	622952687	242405078	500425628	681486510
"4739"	""	478865880	549129615	731075509	471310144	622997208	242436489	500470692	681505903
"4740"	""	478905382	549178825	731094354	471357966	623041694	242467898	500515747	681525285
"4741"	""	478944868	549228033	731113198	471405787	623086160	242499306	500560796	681544655
"4742"	""	478984313	549277214	731132042	471453596	623130618	242530713	500605845	681564021
"4743"	""	479023744	549326383	731150846	471501401	623175061	242562113	500650886	681583381
"4744"	""	479063170	549375549	731169631	471549192	623219495	242593509	500695900	681602711
"4745"	""	479102567	549424699	731188414	471596977	623263926	242624902	500740907	681622036
"4746"	""	479141959	549473836	731207173	471644749	623308353	242656294	500785910	681641337
"4747"	""	479181339	549522966	731225929	471692477	623352773	242687685	500830905	681660637
"4748"	""	479220717	549572080	731244666	471740197	623397171	242719063	500875880	681679926
"4749"	""	479260092	549621192	731263393	471787911	623441564	242750439	500920831	681699210
"4750"	""	479299456	549670288	731282113	471835616	623485952	242781811	500965780	681718486
"4751"	""	479338819	549719383	731300830	471883318	623530339	242813177	501010721	681737748
"4752"	""	479378169	549768458	731319545	471931019	623574725	242844543	501055648	681757005
"4753"	""	479417510	549817508	731338251	471978711	623619081	242875909	501100574	681776234
"4754"	""	479456834	549866504	731356946	472026396	623663436	242907270	501145500	681795460
"4755"	""	479496157	549915500	731375631	472074063	623707769	242938628	501190426	681814679
"4756"	""	479535447	549964496	731394297	472121728	623752080	242969982	501235338	681833881
"4757"	""	479574733	550013487	731412954	472169387	623796385	243001334	501280245	681853082
"4758"	""	479614012	550062459	731431607	472217035	623840683	243032684	501325115	681872282
"4759"	""	479653266	550111428	731450245	472264675	623884970	243064030	501369965	681891478
"4760"	""	479692509	550160389	731468882	472312303	623929248	243095376	501414815	681910669
"4761"	""	479731741	550209315	731487478	472359923	623973512	243126721	501459660	681929856
"4762"	""	479770970	550258216	731506048	472407535	624017774	243158064	501504480	681949012
"4763"	""	479810187	550307116	731524616	472455141	624062029	243189404	501549280	681968154
"4764"	""	479849393	550356015	731543169	472502728	624106241	243220736	501594073	681987285
"4765"	""	479888595	550404896	731561711	472550297	624150444	243252064	501638859	682006410
"4766"	""	479927762	550453756	731580252	472597863	624194635	243283392	501683640	682025535
"4767"	""	479966929	550502615	731598791	472645416	624238810	243314713	501728415	682044647
"4768"	""	480006092	550551455	731617326	472692962	624282982	243346033	501773183	682063758
"4769"	""	480045250	550600289	731635855	472740507	624327140	243377352	501817925	682082865
"4770"	""	480084402	550649122	731654375	472788049	624371289	243408668	501862664	682101970
"4771"	""	480123543	550697890	731672886	472835590	624415438	243439984	501907403	682121070
"4772"	""	480162682	550746657	731691388	472883109	624459571	243471296	501952140	682140167
"4773"	""	480201819	550795424	731709886	472930613	624503695	243502608	501996864	682159260
"4774"	""	480240940	550844168	731728381	472978106	624547817	243533919	502041587	682178352
"4775"	""	480280042	550892861	731746870	473025576	624591932	243565219	502086275	682197439
"4776"	""	480319142	550941550	731765341	473073035	624636024	243596515	502130956	682216519
"4777"	""	480358234	550990231	731783773	473120488	624680110	243627808	502175635	682235591
"4778"	""	480397319	551038909	731802200	473167924	624724189	243659099	502220308	682254663
"4779"	""	480436404	551087585	731820618	473215354	624768265	243690389	502264966	682273724
"4780"	""	480475484	551136239	731839001	473262775	624812332	243721678	502309617	682292768
"4781"	""	480514562	551184890	731857383	473310182	624856399	243752959	502354241	682311796
"4782"	""	480553622	551233529	731875762	473357579	624900465	243784238	502398865	682330816
"4783"	""	480592666	551282152	731894132	473404965	624944528	243815516	502443459	682349821
"4784"	""	480631705	551330752	731912486	473452346	624988591	243846790	502488049	682368785
"4785"	""	480670741	551379348	731930835	473499714	625032652	243878062	502532632	682387738
"4786"	""	480709777	551427932	731949183	473547067	625076702	243909326	502577213	682406686
"4787"	""	480748799	551476512	731967524	473594397	625120728	243940584	502621791	682425632
"4788"	""	480787821	551525090	731985864	473641715	625164743	243971841	502666367	682444571
"4789"	""	480826842	551573654	732004198	473689026	625208743	244003090	502710929	682463481
"4790"	""	480865857	551622192	732022522	473736308	625252723	244034328	502755481	682482367
"4791"	""	480904872	551670730	732040834	473783582	625296689	244065565	502800026	682501250
"4792"	""	480943866	551719241	732059132	473830826	625340651	244096797	502844552	682520110
"4793"	""	480982857	551767723	732077417	473878066	625384613	244128028	502889074	682538942
"4794"	""	481021836	551816187	732095696	473925298	625428571	244159249	502933592	682557758
"4795"	""	481060808	551864649	732113959	473972516	625472524	244190470	502978075	682576538
"4796"	""	481099769	551913097	732132221	474019732	625516456	244221690	503022547	682595309
"4797"	""	481138730	551961539	732150482	474066947	625560372	244252909	503067009	682614065
"4798"	""	481177685	552009972	732168721	474114145	625604281	244284125	503111461	682632782
"4799"	""	481216634	552058405	732186950	474161343	625648165	244315332	503155867	682651495
"4800"	""	481255579	552106828	732205173	474208532	625692041	244346538	503200245	682670191
"4801"	""	481294512	552155244	732223390	474255717	625735904	244377743	503244600	682688870
"4802"	""	481333431	552203639	732241597	474302893	625779761	244408948	503288943	682707522
"4803"	""	481372348	552252030	732259802	474350061	625823617	244440149	503333249	682726163
"4804"	""	481411264	552300393	732278002	474397220	625867452	244471350	503377546	682744803
"4805"	""	481450175	552348755	732296193	474444370	625911263	244502544	503421796	682763430
"4806"	""	481489083	552397116	732314382	474491514	625955060	244533735	503466032	682782050
"4807"	""	481527979	552445460	732332552	474538658	625998854	244564926	503510257	682800664
"4808"	""	481566864	552493793	732350702	474585797	626042621	244596117	503554480	682819273
"4809"	""	481605739	552542097	732368829	474632921	626086383	244627304	503598699	682837869
"4810"	""	481644613	552590332	732386943	474680038	626130125	244658489	503642914	682856464
"4811"	""	481683486	552638560	732405056	474727138	626173867	244689672	503687088	682875050
